Years,Population
1926,2 075 967
1937,2 330 420
1959,1 645 017
1970,1 823 831
1979,1 954 663
1987,2 088 000
1989,2 140 336
1990,2 152 578
1991,2 161 266
1992,2 165 262
1993,2 168 933
1994,2 164 114
1995,2 168 597
1996,2 162 178
1997,2 156 283
1998,2 157 338
1999,2 153 911
2000,2 136 058
2001,2 117 291
2002,2 094 735
2003,2 075 422
2004,2 052 741
2005,2 034 091
2006,2 016 288
2007,2 003 282
2008,1 993 290
2009,1 987 716
2010,1 983 985
2011,1 976 560
2012,1 974 820
2013,1 973 985
2014,1 973 876
2015,1 978 183
2016,1 978 466
2017,1 972 682
2018,1 960 081
2019,1 944 195